	pid	text	explanation	target_of_sarcasm
1331	790622330594468555_1911223	Back to school selfie. #thrilled #ecstatic #futureRT	the author isn't thrilled to be back to school.	being back to school
1332	212448589834130357_6621571	Best place to run out of bobbin ever...	it's annoying to run out of bobbin at such place.	running out of bobbin at such place
1333	900255146562736129	weather 's lookin amazing today ...  emoji_75	weather's not looking nice today, it's raining.	weather
1334	722913882885337088	'sexual dimorphism is a social construct ! equality ! # standwithscience '	sexual dimorphism isn't a social construct, we need equality.	equality among men and women
1335	982175932476644513_856188414	#quote #quotes #lmfao #school #fuckboy #fuckboys #bitch #bitches #tumblr #repost #tumblrpost #tumblrposts #beauty #fashion #selfie #true #sarcasm #sarcastic	the author isn't excited for school tomorrow, waking up at 6am and sitting in a desk for 8 hours surrounded by unpleasant people.	going to school
1336	900367539795931136	i 'm perplexed . which one should i get ? ? ? # progressosoup # groceries  # redundancy	they both are similar, the author isn't perplexed about which one to get.	similar progresso soup
1337	845038652036132864	 , don 't you love it ? ! emoji_92 emoji_15	smoking isn't good for the environment, it kills human beings.	smoking
1338	910697681692979200	i was so nervous , i couldn 't even get a clear photo  # postyouryes # isaidyes # marriageequaility	the author wasn't nervous about marriage equality.	marriage equality
1339	911521435469864962	'after admitting inferior communication skills , rahul gandhi is taking lessons from the master himself . # rahulnricomment '	narendra modi isn't the master of communication skills.	narendra modi's communication skills
1340	913770074393149445	'nice to see <user> come to british gas and demoralise everyone  looking forward to seeing you help transform this business emoji_138'	the author is sad to see <user> come to british gas and demoralise everyone, he's not looking forward to see <user> help transform the business.	<user> demoralising everyone
1341	883059670377783297	'that 79 ┬░ dew point in myrtle beach feels oh so refreshing !  # airyoucanwear # scwx'	that 79 degree dew point in myrtle beach doesn't feel refreshing.	dew point in myrtle beach
1342	944616584403963905	'is it a woman ? is it a glass ? who knows ? ! i love objectification  # objectification'	nobody loves objectification.	objectification of women
1343	836231946120224768	'real genius ! whoever did this deserves an effing medal ! - pctto  emoji_15 emoji_15'	this is stupid, whoever did this deserves education.	wrong maths
1344	842564483793014785	'this is helpful <user> ... great app . '	the author doesn't find this app helpful.	<user>'s app
1345	896146339288842241	. <user> , we loved being greeted by machine guns at entrance ! if that 's not # baseball , i don 't know what is !  from a <user> fan .	the author hated being greeted by machine guns at entrance, that's not baseball.	machine guns at entrance
1346	919690316541603840	'here is my blazing fast unlimited <user> speed . such great service for the price . '	the author isn't getting a great service for the price, given such slow <user> speed.	slow <user> speed
1347	693610805342789632	'... and this is why donald trump is the hero america deserves .  # wiiu'	donald trump isn't the hero america deserves.	donald trump's presidency
1348	917840943361003521	unbelievable . they took <num> parking spots for recycling containers . two . couldn 't they use the sidewalks ? cut some trees ? no . 	it's good that they took <num> parking spots for recycling containers instead of using the sidewalks or cutting some trees.	recycling containers in parking spots
1349	1025465637013505715_2001370976	Party on. #nope #imgood #borntobemild #introvert #differentstrokes #aintgottimeforthat #instalike #sorrynotsorry #funnypictures #fun #laugh #sarcasm #sarcastic #funnypics #lol #lolz #meme #funny #lmfao #nikkitcb #funday #errryday	one wouldn't deny doing something which sounds fun.	doing something fun
1350	936377684891971585	'oh how romantic . nuclear power plant on the lake with the sunset '	nuclear power plant on the lake with the sunset isn't romantic.	nuclear power plant on the lake
1351	890605713499725824	'tell me again how we are out of space in this country , so # vanre prices must continue to climb ? '	we aren't out of space in this country, so vanre prices mustn't continue to climb.	vanre prices
1352	747933335373012141_196701334	6am work. Best thing ever.	the author doesn't like 6am work, it's too early.	work at 6am
1353	724615506737684481	'when you pay <user> r500pm for bussiness adsl you know the speeds are going to be good  # worstcompanysa'	when you pay <user> r500pm for bussiness adsl you expect the speeds to be good, but these are terrible speeds.	<user>'s internet speed
1354	874805653939900416	'i guess it was just too much effort for someone to reach the bin ... # litterbug '	someone left the trash next to a bin instead of putting it in the bin.	trash
1355	897587414603972608	'so iran admits they can go beyond pre-deal levels within hours or days . great deal obama ! '	it's not a great deal by obama since iran admits they can go beyond pre-deal levels within hours or days.	obama's deal 
1356	922504559498551296	'<user> yeah ... kirk cousins has been so inconsistent . '	kirk cousins has been consistent.	<user> for criticising kirk cousins
1357	689357345588125696	this dog gets his own fancy pillow , he 's so unloved and neglected ... 	this dog gets his own fancy pillow, he's loved and cared for.	dog getting love
1358	727046289163169792	surely the media aren 't told what to broadcast to suit an agenda ? outrageous theory ...  emoji_0	the media surely is told what to broadcast to suit an agenda	media's biasedness
1359	889899975769018369	'<user> nice to see such excellent customer service '	the author is sad to see such bad customer service at <user>, the counters are unattended.	<user>'s bad customer service
1360	886348722073997314	'amazing high tech green screen at <user> <user> # houseparty tent '	the green screen at <user> isn't amazing high tech, given such poor editing.	<user>'s green screen
1361	932636894277627905	'sunsets are def not my thing .  # homohoes'	the author enjoys sunsets.	author enjoying sunset
1362	708662686876237824	'this guy definitely deserves $ 15 an hour !  # minimumwage'	this guy doesn't deserve $ 15 an hour since he is just sleeping.	sleeping guy
1363	885659162721562625	'# thanksgreitens for cutting the budget . those foster kids can fin for themselves ! '	the author is sad greitens cut the budget, those foster kids can't fin for themselves.	greitens for cutting the budget
1364	706938254852005888	'gotta love that support <user>  emoji_19 emoji_19 emoji_19'	the author is pissed at <user>'s customer support for asking for the shipping address repeatedly even after providing it.	<user>'s customer support
